baseline_margin,baseline_shortlist_ndcg,document_entropy_effective_rank,document_leading_variance_fraction,document_normalized_effective_rank,document_stable_rank,learning_rate,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,query_entropy_effective_rank,query_leading_variance_fraction,query_normalized_effective_rank,query_stable_rank,run_id,step,tasks
0.21053618637600907,0.9344218230006742,158.18882122771524,0.043833025687417614,0.20597502764025422,22.813848332789235,,0.5670382962735923,0.10262574547836738,0.4795386904761905,0.11687997027688302,0.30151960436415415,0.5315043468924421,0.04420020197705637,0.1867995601557429,0.04380580357142857,0.14735348982359936,0.024711025806454037,0.22521688429805267,pretrained,145.32691802459556,0.036809289280228266,0.6516902153569307,27.16705536982861,pretrained,0,14
0.24488598100200454,0.9436124331016185,168.15189117682866,0.035535144938081104,0.21894777496982898,28.141154390743846,1e-05,0.5752063367004905,0.105944056399947,0.48307291666666663,0.1158423105163006,0.3080751284054037,0.5220965703507441,0.019770803504441332,0.1384034326078275,0.019252232142857144,0.039580942186003484,0.0023958010413154093,0.14543871179699114,adamw,150.3846602993007,0.034855410462427225,0.6743706739878955,28.689950476353193,verified-v3-adamw-1e-5,782,14
0.2516333528289059,0.9458445759587611,166.995174015373,0.03613461294736539,0.21744163283251694,27.674296704288093,1e-05,0.5712663729782539,0.10687014122561624,0.4817708333333333,0.11717006781309688,0.3059686629406381,0.5230383108775732,0.009794543534621752,0.013346298912061766,0.00744047619047619,0.03924585695507666,0.005346557609340671,0.14649086259160451,adamw,150.45441908013626,0.035110032530598925,0.674683493632898,28.48188759519049,verified-v3-adamw-1e-5,1563,14
0.2552062356715549,0.9465662780544737,167.6801760448064,0.034559964535148605,0.21833356255834166,28.935214877983093,1e-05,0.5762601801342797,0.10928629454334224,0.49088541666666663,0.11513512529408569,0.3045742954129115,0.5128346850468616,0.04612831825332583,0.007998865457588832,0.0008370535714285714,0.2420171500649129,0.05939620763808647,0.2064928780975663,adamw,150.83063910731983,0.034390080684243284,0.6763705789565911,29.078152191081546,verified-v3-adamw-1e-5,2345,14
0.2560750395927004,0.9461770285077139,168.0615129845051,0.034128618308696144,0.21883009503190767,29.300922497210937,1e-05,0.5724490567324397,0.10777755669470654,0.4879092261904762,0.11629927353387227,0.30637339835748806,0.5185162289974389,0.033616914926115946,0.022154702857791305,0.021763392857142856,0.03758596638755897,0.017745737234601235,0.13675161770110975,adamw,151.043670731309,0.03445973440209097,0.6773258777188744,29.01937630544597,verified-v3-adamw-1e-5,3126,14
0.2569633887900111,0.9459813867628976,167.42624264613033,0.034427648510125794,0.21800292011214886,29.046421793979974,1e-05,0.574319660692122,0.10646346601655514,0.4850260416666668,0.1167101318487688,0.307280422852562,0.5226700717907357,0.015118586180441292,0.05910294608759176,0.022693452380952384,0.0451756817093319,0.005827157610384058,0.10216307274281101,adamw,150.9319238114366,0.03453090752483052,0.6768247704548727,28.959563234210368,verified-v3-adamw-1e-5,3907,14
0.22021281647447452,0.9374344988942097,164.04179418453927,0.03917020251920655,0.2135960861777855,25.52961015480235,1e-06,0.5672035830659516,0.10597265842670744,0.4845610119047619,0.11543087280743117,0.298890712515835,0.5217750659853505,0.05435634593804279,0.343320339363649,0.030970982142857144,0.062325101683231465,0.039075765893642714,0.22668981995361198,adamw,147.4833327691104,0.03589535936935414,0.6613602366327821,27.858754378532716,verified-v3-adamw-1e-6,782,14
0.22616755864497584,0.9392093447972955,166.81948667371114,0.036881697793848256,0.21721287327306138,27.113719265027886,1e-06,0.5683364689263563,0.1063109809338353,0.48828125,0.11463081681778399,0.29806835528858006,0.5184728894248319,0.0677413841843104,0.5493018743979542,0.03599330357142857,0.5456514136136814,0.036763474848369296,0.2511535441683056,adamw,148.86364532074936,0.0351657969382497,0.6675499790168132,28.436722243376884,verified-v3-adamw-1e-6,1563,14
0.2294139332441843,0.9383153573173935,167.72412839714033,0.03602317372202155,0.21839079218377647,27.759908322255452,1e-06,0.5716431102301592,0.10466214959445386,0.48409598214285715,0.11685604123221513,0.302523859842756,0.5271370257297446,0.05741383246948119,0.1948245492948087,0.03180803571428571,0.3957552075888201,0.03807805968943439,0.14493846864827561,adamw,149.47762700272023,0.03488580896207346,0.6703032601018845,28.664950871202738,verified-v3-adamw-1e-6,2345,14
0.23121119104544433,0.938704223401021,168.12787719690306,0.035666475185858554,0.21891650676680086,28.037533700456365,1e-06,0.5722877348104463,0.10577415383781368,0.48911830357142866,0.11537611541897282,0.301535619071145,0.5215824277951986,0.0704797380489927,0.3096051629747886,0.04985119047619047,0.26370710022729776,0.029121770748420844,0.11951217609332317,adamw,149.69375212869133,0.03479518535910072,0.6712724310703647,28.739608359018238,verified-v3-adamw-1e-6,3126,14
