suite,model_family,optimizer,learning_rate,aux_learning_rate,run_id,training_seed,stage,fraction,checkpoint_step,tasks_completed,mean_ndcg_at_10,median_ndcg_at_10,standard_deviation_ndcg_at_10,minimum_ndcg_at_10,maximum_ndcg_at_10,source_partition,formal_source_stage5,joined_summary_role,joined_summary_used_for_formal_inference,source_result_set_sha256
hybrid,dense,hybrid_adamw,3e-06,3e-06,hybrid-adamw-lr3e-6,42,5,1.0,3907,14,0.5830814285714285,0.56334,0.2654884233649677,0.14433,0.94734,formal-stage5,True,descriptive-only,False,1e7a9d57f259aff42234a372aec0c28514983841a0aca393c007200fffbf0c55
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,161803,1,0.2,782,14,0.5855014285714286,0.562555,0.26132143113297795,0.15153,0.92545,dynamics-stage1-4,False,descriptive-only,False,af010a68dedb16b07cc723a6b52bd8114f72834ae2f8c63c1c397a47c805609a
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,161803,2,0.4,1563,14,0.5894542857142857,0.56365,0.2633462316775684,0.14934,0.93964,dynamics-stage1-4,False,descriptive-only,False,9c680cd7eb4c71ec5f366b5d1ecb3a1ef9ff27456f159b0e5ac53f878b64500d
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,161803,3,0.6,2345,14,0.5897807142857143,0.562705,0.26403154409665,0.15097,0.93964,dynamics-stage1-4,False,descriptive-only,False,1aef615c6accde8ca00070f37cae7a69b10a607cee6a13001e154e35e34a13ac
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,161803,4,0.8,3126,14,0.5899235714285714,0.562695,0.26170059527218564,0.15039,0.93964,dynamics-stage1-4,False,descriptive-only,False,e5377f0c335507e62408bc63c4b65dfcf95c1bf69023d42df7ce65b5470b1377
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,161803,5,1.0,3907,14,0.5902828571428571,0.5655749999999999,0.26254650070929125,0.14996,0.93964,formal-stage5,True,descriptive-only,False,d7df0b9e05c0ded501a8b8df2ac15cf1177ac979ca80fbb409e2f35a5961b2d3
confirmatory,dense,muon,0.003,3e-06,muon-selected,161803,1,0.2,782,14,0.5306471428571429,0.47053500000000004,0.263559257132828,0.11544,0.90502,dynamics-stage1-4,False,descriptive-only,False,b866b185b49df2b76dea5e8d7fc082fd0f287a2c530bd711342f1ebb35984e6a
confirmatory,dense,muon,0.003,3e-06,muon-selected,161803,2,0.4,1563,14,0.5225892857142858,0.484385,0.25928052170420374,0.10124,0.91133,dynamics-stage1-4,False,descriptive-only,False,1c36600712a240bed7baa4ea1f087d85666b6764b8d59bb41e4d25486d3159c9
confirmatory,dense,muon,0.003,3e-06,muon-selected,161803,3,0.6,2345,14,0.5279028571428571,0.513795,0.2610500889382991,0.10157,0.90188,dynamics-stage1-4,False,descriptive-only,False,5c82da77b50e22b26fae46fa5d748a3fcd7a2be35923722d434c39e67c332e08
confirmatory,dense,muon,0.003,3e-06,muon-selected,161803,4,0.8,3126,14,0.5584321428571428,0.529955,0.26014613393735264,0.12385,0.93315,dynamics-stage1-4,False,descriptive-only,False,9c71e911ed0371ece96e98a80bc0de7f4ffd873c2034f5f138a7d25fd1fd0e5e
confirmatory,dense,muon,0.003,3e-06,muon-selected,161803,5,1.0,3907,14,0.5622807142857144,0.534675,0.26586580303024754,0.11807,0.93796,formal-stage5,True,descriptive-only,False,697f9f54300b6a7756e8de5d89258dde0f4a941908d5f3be53e3550a1794add7
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,161803,1,0.2,782,14,0.539275,0.49141500000000005,0.2630672835376097,0.12286,0.9052,dynamics-stage1-4,False,descriptive-only,False,b74e3fdfe64ad26d1701bfeb22aed18d70ada3d06ec852aae249d1b40aea1dfc
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,161803,2,0.4,1563,14,0.5388314285714286,0.50362,0.2617053594586625,0.11012,0.90898,dynamics-stage1-4,False,descriptive-only,False,8beb925cd966798342bac5fd960167635182d156df08eccb405bd435e7cd2be9
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,161803,3,0.6,2345,14,0.5453521428571428,0.52252,0.2623066101007579,0.11258,0.90322,dynamics-stage1-4,False,descriptive-only,False,628a6b7f7343d40e60383af8bb472ed06799f65945e733fa48aabfa7db7e2459
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,161803,4,0.8,3126,14,0.5579378571428572,0.53469,0.26527036898171247,0.1143,0.91632,dynamics-stage1-4,False,descriptive-only,False,d6b834ca6a8cfcc25dea5436eb2614e42392a0833c7991581481b1ed66c87899
confirmatory,dense,normuon,0.003,3e-06,normuon-selected,161803,5,1.0,3907,14,0.5629442857142857,0.54259,0.2639105944583259,0.12168,0.92214,formal-stage5,True,descriptive-only,False,52a703c65e1984e9e7559a2e387c7c8467085658248ecbe93942646c704c51e6
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,271828,1,0.2,782,14,0.5834485714285714,0.559145,0.26106219756594246,0.14711,0.91774,dynamics-stage1-4,False,descriptive-only,False,f70ee88e2daa49fa75575f53c58745631282f4f8028b99ad64a05b335df49bd9
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,271828,2,0.4,1563,14,0.5872028571428571,0.564235,0.26165232704675034,0.1481,0.92545,dynamics-stage1-4,False,descriptive-only,False,7e1715b2c3688596e296c878e96ff9b7e8aa80e30ea59f133a445af23ce00275
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,271828,3,0.6,2345,14,0.5891157142857143,0.56518,0.2628412818390131,0.15134,0.93964,dynamics-stage1-4,False,descriptive-only,False,beafc4633d2e70e02a0916a8a6ba1ff832a7dc4177109d86e247827cb2f23e2b
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,271828,4,0.8,3126,14,0.590315,0.56308,0.26273580752073256,0.15111,0.93964,dynamics-stage1-4,False,descriptive-only,False,5ca4a83926a39745e0d9db7c06eac6da9e98aecbdc268f1df839390bd718316f
confirmatory,dense,adamw,3e-05,3e-06,adamw-selected,271828,5,1.0,3907,14,0.5900357142857142,0.565075,0.26182385528427,0.14808,0.93964,formal-stage5,True,descriptive-only,False,279fbf1fa9c30a78761a583c53020c5943e1abdc2fc78faa42dcd1a1e670229b
confirmatory,dense,muon,0.003,3e-06,muon-selected,271828,1,0.2,782,14,0.531215,0.487005,0.2593582889349899,0.09851,0.90189,dynamics-stage1-4,False,descriptive-only,False,c9b8f416c9585651bfa0ca9bdf57a03c0b00ed1e08912f000cf81eae7128ce77
confirmatory,dense,muon,0.003,3e-06,muon-selected,271828,2,0.4,1563,14,0.5295935714285714,0.505655,0.26175153143520186,0.08999,0.91716,dynamics-stage1-4,False,descriptive-only,False,06c898dad09f1aa4b29319717d51a727988b4127ea7a9736057c13aa8734e3ce
