stage,training_progress_percent,adamw_score_0_to_100,muon_score_0_to_100,normuon_score_0_to_100,muon_minus_adamw,normuon_minus_adamw,muon_above_selected_adamw_final,normuon_above_selected_adamw_final
1,20,58.577357142857146,58.81207142857142,58.75385714285714,0.23471428571427566,0.17649999999999721,False,False
2,40,58.975857142857144,59.27621428571428,59.12428571428572,0.30035714285713766,0.14842857142857468,True,True
3,60,58.79642857142857,59.12535714285714,59.15221428571428,0.3289285714285697,0.3557857142857088,True,True
4,80,58.876,59.136214285714296,59.07228571428572,0.26021428571429794,0.19628571428572172,True,True
5,100,58.92628571428571,59.243071428571426,59.36371428571429,0.31678571428571445,0.43742857142857616,True,True
