augmented_numeric_rank,baseline_mse_exact,baseline_rmse,exact_residual_energy,feature,feature_improves,feature_mse_exact,feature_rmse,held_out_dose_index,mse_reduction_exact,rmse_reduction,status,test_rows,train_rows,training_feature_mean,training_feature_scale
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,676500213863908973975747986059967546530099557354307876736373/3424316569834250021407906468549639088729155938702868202127360,saved_segment_sketch_effective_rank_fraction,False,189983483119261854648804744682882404590411098236970017366136158825925484727747837253729166345289568775338053239217086497765/3239213416490911307698068170037633902736531045998802688495858501222837287905089550553251563150061421895585591361014928109207552,0.007658401686718052,3,-7039686208257314061643813865042090564967222185741898399999492678026232465706568845208009971635592241352589998830564010064223147263391260540283917746499319623650518953092282241/1602971480907070478213931048576810952591834643248034840804546740753137023406911224742550255857228097956028953279288727057374702873523524990747659181526094412484271765408163247685632,-0.0002922990146129931,resolved,15,45,0.31283658276030024,0.07136815050609543
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,23100023616987840732281870712321767913242926710306525530816083/108544019760016173621600140006328376008730441819121078910320640,saved_segment_sketch_effective_rank_fraction,False,17400307063114627321540247800617237455860507915542156147272525828878238541170613551467425989044011017431243675238744424412901/34970736466683232514611067182051383347722540592296404713333890541571073360897881703695408103754814273460367618792749233791893504,0.022306224403922124,4,-70054887651866500544704130517679589207427663301957018042063787029161516084497269808821386414173931552845978528090534339121677809260518263186804953387791891280035200416762577287/7546968270192417621168852005960548305273376542676151761113495851955303174922395690276633732780643067570319821451840928866026934732115649555967618879392625566191960670932144295919616,-0.00020904977316945462,resolved,15,45,0.3107751545643361,0.07348237023689022
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,636014716358454464631926089726674270468544219921797330407887/3015111660000449267266670555731343778020290050531141080842240,saved_segment_row_norm_cv,False,1413002966556943204994796230502340014874108250384779157240708393241555470726569252789498431887652032221053713607201346678889/2863109878438214421616203183496942847469285900698785175560449582124236418957771228893339313453937551358179743300158417472847872,0.022215317734801062,1,-12938987915130182763030642188369104137713268795708729540231563049684190542619118359570385404349527713317971749455283850646931416985262494179994688426056899304002986491889100525/2471529237279119405482384202197834544311388152401547658298419057140122058342610769523558717859825459677309819522483280795086553628827620342671479209015506528903177318079660001329152,-0.00011814310404838973,resolved,15,45,0.29680945329476205,0.07070783827582114
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,6337468470406158666270923996623414138005985148173447142448107/27394532558674000171263251748397112709833247509622945617018880,saved_segment_row_norm_cv,False,1369458510598321860860591304174750768764776897872383288316823902023265374860698401844265514243195501143187892954854685800747/23689400124737427042798854686264112347102619185999874408723505902137481934976199814264226846569376333815989750339383522167422976,0.0076032173899347865,2,-20805151702530124549234826917416862202210678263231001449587368453525736857866204928529689563682353873895031359686895648444713499783888342619837196606832013744076303059954445645/5861520671411593088766429060444935490574743457349224990987612569220985149693275564672507815731152279588223542529172662897322623892106449559791992853517592303411127980107871049515008,-0.0002371147178297279,resolved,15,45,0.30988507388406333,0.07365692378375703
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,1504894259670006671002183658767158800979805978947895810619983/6848633139668500042815812937099278177458311877405736404254720,saved_segment_row_norm_cv,False,874386614406448189666212293194631998398969976332462613029591363243096870175885682295196521173358854069130243702375361919249/16029340607517533563518056252924344434415129197869220844759345137099192859034288360776228006757268725932200364821617271846469632,0.007385738409843332,3,-2297710656967380128196152717558863576654625788109189341284027992103018849128797058032886848310786869820279596076990879928819347859081549532751769992913715601083264441704990125/7932350403583948678864829320337147181884428853308367546029572053249081912792125755142053121199678363355839916484539051699723055963519079180074780591933639218542535174699043762470912,-1.963573773827375e-05,resolved,15,45,0.3097432605662553,0.07178897322883139
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,20185297710924391401768319055871515047333982162918982114412027/108544019760016173621600140006328376008730441819121078910320640,saved_segment_row_norm_cv,False,13076458960650795461445113764166006900657192407267864384585651478904902814925082304769503097993303440637235107582603606282051/26702397025723972019248823051336319456830868149338723556593163227556608854518143105431301369902293739053642408469457944492703744,0.02212941600751592,4,-16434066139220304272078511848147191808625752983253343229864375233893972881684624891719863733170526971339884022041637564857412670408466360015013941958725363176878719722266901109/11525187253817785296191426223870343531944913678419588280144075631068638276522884331471628733965416156521847510162506921143640449789343936802474566567370754522450683191544377759793152,-3.2241376763249246e-05,resolved,15,45,0.2995060376395165,0.07147502600313449
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,2028365717820365045486107299367995913777593646776076323601877/9045334980001347801800011667194031334060870151593423242526720,saved_segment_top_1pct_row_energy,True,256366803287586648911026477968562063282002164528324561541418905910298716089624507552382547450703625109364474395231863024405/539265267823925625756231938801456939700470024370387870772307860499537323744063922586265282536723610049247878509861001380364288,0.021803673454237782,1,5998089522297021378730928590313665546108998076766998886685777792347383316192280987520066412175779216932439852392069920746369494751773052393290788129269936784036963340001280141/465511256174008843694903002399493337259364490391256403444814836724034964240549273428327592005278314284748577421114700055866829795773627627478415446081938012789129030561407708561408,0.00029350117651488777,resolved,15,45,0.30646311855550684,0.07459305625468403
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,64342724947010044777704266374970949395388313387150889131841/321029678421960939506991231426528664568358369253393893949440,saved_segment_top_1pct_row_energy,False,40136123066185135696195520783624904487591568479786619822754548145860343229229872289393801944136134175148722700937884753663/555659548910308150478908404793365777128722792624979470580756016293793461885405068026379357325027265811320239845064109423853568,0.008498911733051792,2,-4941880051531001077285962140228895458373513927025644466175055198958426547989180380189986096732428030469058210279989033417425698256585273810710562148641594459584943507526089367/274976142498763507925533550392843882757118478249928648399275412523344926110772143288039970769238079195161468707920502732853975282957835363686944864834798958286452315180457722380288,-0.001132809060946734,resolved,15,45,0.29813752137856486,0.07089102588391645
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,4287493610789288172482908125988919607037543100122506465650417/20545899419005500128447438811297834532374935632217209212764160,saved_segment_top_1pct_row_energy,False,197339012616881033490188721339985451319713425294334325707580979529240626921483976074692529750640260959119674146101063172667/2409444338900529065828164392453478078244327849942456085702501000372619739113654653285170846505155451298979092930868317243179008,0.009049988481096486,3,-32959872500053865115529799165822134275371993536460887302373787426341246909831558372833501392243949672530913582553034902655609100917707604153105113710256699801525269722240924001/1192348284440793147975639292239856605998599150898173535052756928946905382658523431619652772282132938650923296961882212499334811566625597164636188514696032511275086639392969385443328,-0.0016838858089914268,resolved,15,45,0.30866362589522534,0.07051838763719602
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,85171895537329790970379356306717261092979184457931126586333/424000077187563178209375546899720218784103288355941714493440,saved_segment_top_1pct_row_energy,True,474116228740801006903254115240430473147089219306819231073439964020871630959752002226132295720876425475554980048217163492603/973649193516130894246853160815274200836862749980964747333730025435004496719721929492903561267374978592967158818307332418568192,0.02206689133456104,4,1124093507911011516783116463350578440125122957025101153463299756734055877456852996681373518428945653886492505930087354269647147516754883367878632111854895518048630668867412341/840485538732104446345808701101878002827149428057086789228818291412419581675842803202099825249438251083761670436222073580047966527956900536702339817600883557747730397069693547446272,3.0283296191632406e-05,resolved,15,45,0.30826381170014827,0.07028565173160532
