optimizer,baseline,stage,fraction,task,corpus_rows,log10_corpus_rows,corpus_half,training_source_task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
muon,adamw,5,1.0,ArguAna,8546,3.9317628884811775,small,False,0.56201,0.56,0.0020099999999999563
muon,adamw,5,1.0,ClimateFEVER,5117453,6.709053862681024,large,False,0.41037,0.40586,0.004510000000000014
muon,adamw,5,1.0,DBPedia,1678309,6.2248719235012535,large,False,0.27901,0.27755,0.0014599999999999613
muon,adamw,5,1.0,FEVER,5117452,6.709053777815658,large,True,0.92251,0.92053,0.001980000000000093
muon,adamw,5,1.0,FiQA2018,47617,4.677762030201842,small,True,0.54474,0.5421,0.0026399999999999757
muon,adamw,5,1.0,HotpotQA,2314813,6.364515912698081,large,True,0.67866,0.67496,0.0037000000000000366
muon,adamw,5,1.0,MSMARCO,4036967,6.606055199304672,large,True,0.57118,0.56796,0.0032200000000000006
muon,adamw,5,1.0,NFCorpus,912,2.959994838328416,small,False,0.28401,0.28744,-0.0034299999999999886
muon,adamw,5,1.0,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
muon,adamw,5,1.0,QuoraRetrieval,413157,5.616115115281062,large,False,0.91306,0.9118,0.0012599999999999278
muon,adamw,5,1.0,SCIDOCS,5833,3.7658919764300154,small,False,0.14696,0.14774,-0.0007800000000000029
muon,adamw,5,1.0,SciFact,858,2.9334872878487053,small,False,0.87919,0.8804,-0.0012099999999999334
muon,adamw,5,1.0,TRECCOVID,99522,4.997919095042042,small,False,0.83006,0.83044,-0.00037999999999993594
muon,adamw,5,1.0,Touche2020,378223,5.577747935057317,large,False,0.33093,0.32591,0.0050200000000000244
normuon,adamw,1,0.2,ArguAna,8546,3.9317628884811775,small,False,0.58415,0.58446,-0.00031000000000003247
normuon,adamw,1,0.2,ClimateFEVER,5117453,6.709053862681024,large,False,0.38016,0.3708,0.00935999999999998
normuon,adamw,1,0.2,DBPedia,1678309,6.2248719235012535,large,False,0.27095,0.26996,0.0009900000000000464
normuon,adamw,1,0.2,FEVER,5117452,6.709053777815658,large,True,0.91471,0.91022,0.004489999999999994
normuon,adamw,1,0.2,FiQA2018,47617,4.677762030201842,small,True,0.51478,0.50736,0.007419999999999982
normuon,adamw,1,0.2,HotpotQA,2314813,6.364515912698081,large,True,0.66927,0.67123,-0.0019599999999999618
normuon,adamw,1,0.2,MSMARCO,4036967,6.606055199304672,large,True,0.55377,0.55495,-0.0011800000000000699
normuon,adamw,1,0.2,NFCorpus,912,2.959994838328416,small,False,0.28668,0.28671,-3.0000000000030003e-05
normuon,adamw,1,0.2,NQ,305674,5.485258500104112,small,True,0.92545,0.92545,0.0
normuon,adamw,1,0.2,QuoraRetrieval,413157,5.616115115281062,large,False,0.915,0.91385,0.0011499999999999844
normuon,adamw,1,0.2,SCIDOCS,5833,3.7658919764300154,small,False,0.15126,0.14891,0.0023500000000000187
normuon,adamw,1,0.2,SciFact,858,2.9334872878487053,small,False,0.89061,0.88021,0.010399999999999965
normuon,adamw,1,0.2,TRECCOVID,99522,4.997919095042042,small,False,0.83197,0.83024,0.0017300000000000093
