family,anchor,layer,tensor,rotation_seed,optimizer,qk_role,head,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,singular_spectrum_relative_l2_error
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,muon,key,5,0.9992297887802124,0.039242468774318695,0.99981689453125,0.0015124084893614054
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,muon,key,11,0.999467670917511,0.03263089433312416,1.0000544786453247,0.0011473563499748707
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,query,0,0.9973956346511841,0.072140634059906,0.9989777207374573,0.00749024236574769
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,query,5,0.9983792901039124,0.056955158710479736,1.000610589981079,0.006299225613474846
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,query,11,0.9983039498329163,0.05822206288576126,0.9991016387939453,0.006646624766290188
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,key,0,0.9977012872695923,0.067779541015625,0.9990450143814087,0.00885842740535736
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,key,5,0.9986382126808167,0.05219629406929016,1.0003033876419067,0.005126294679939747
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,key,11,0.9983282089233398,0.05782678350806236,1.0000898838043213,0.007321508601307869
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,query,0,0.9677542448043823,0.2545393407344818,1.004340648651123,0.01444906834512949
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,query,5,0.9689263105392456,0.24970437586307526,1.0031342506408691,0.02574768103659153
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,query,11,0.9662383794784546,0.26000213623046875,1.001132607460022,0.016806412488222122
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,key,0,0.9636927843093872,0.2697008550167084,1.001670002937317,0.02300996519625187
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,key,5,0.9657634496688843,0.26113399863243103,0.9955894351005554,0.01424888800829649
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,key,11,0.962736189365387,0.27287620306015015,0.9991031289100647,0.024421729147434235
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,query,0,0.999354898929596,0.03591805696487427,1.0000979900360107,0.0014234540285542607
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,query,5,0.9991989731788635,0.0400298573076725,1.0002377033233643,0.0013855216093361378
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,query,11,0.999222993850708,0.03941713273525238,0.999812126159668,0.0014234924456104636
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,key,0,0.9993029236793518,0.03733522444963455,0.999862551689148,0.0015835281228646636
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,key,5,0.9992253184318542,0.0393623523414135,0.9999244213104248,0.0012994209537282586
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,key,11,0.9994330406188965,0.0336788035929203,1.0002999305725098,0.0013166379649192095
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,query,0,0.9980981945991516,0.061683885753154755,1.0002880096435547,0.007044938858598471
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,query,5,0.9984143376350403,0.05636938661336899,1.0013744831085205,0.005738758947700262
