family,optimizer,records,median_mapped_direction_cosine,median_mapped_relative_frobenius_error,maximum_mapped_relative_frobenius_error,median_absolute_norm_ratio_error,median_predicted_descent_relative_error,median_head_spectrum_relative_l2_error,maximum_functional_invariance_error
dense,adamw,90,0.9693966805934906,0.24738310277462006,0.29382574558258057,0.00021845102310180664,0.004878735153122621,0.02539894861790041,7.105427357601002e-15
dense,muon,90,0.9994630515575409,0.0327694583684206,0.07241702824831009,7.453560829162598e-05,0.0003374021514712327,0.0014805032308989516,7.105427357601002e-15
dense,normuon,90,0.9983222484588623,0.05792648158967495,0.13562318682670593,7.447600364685059e-05,0.0035983249638181355,0.00945806041515122,7.105427357601002e-15
late,adamw,90,0.9690552651882172,0.2487785518169403,0.2913980185985565,0.0002487301826477051,0.0024202133952750757,0.023890266893431544,7.105427357601002e-15
late,muon,90,0.999430924654007,0.033741433173418045,0.07956891506910324,5.078315734863281e-05,0.00025404755005083407,0.0015027206294083346,7.105427357601002e-15
late,normuon,90,0.9975952506065369,0.06935039907693863,0.11156253516674042,5.075335502624512e-05,0.002280523215667997,0.010787674381087223,7.105427357601002e-15
