family,anchor,layer,tensor,rotation_seed,optimizer,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,original_predicted_descent_per_unit_lr,rotated_predicted_descent_per_unit_lr,predicted_descent_relative_error,mean_head_spectrum_relative_l2_error,maximum_head_spectrum_relative_l2_error,functional_invariance_max_abs_logit_error
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,0.9716069102287292,0.2382921725511551,0.9999446272850037,31.831756591796875,31.986347198486328,0.004856489972321902,0.025750187691301107,0.037851493805646896,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,0.9995119571685791,0.031242096796631813,0.9999681711196899,2.1305665969848633,2.130357503890991,9.813966583723542e-05,0.0014342415573385854,0.0016247296007350087,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,0.9983402490615845,0.05761419236660004,0.9999683499336243,2.0100314617156982,2.0175232887268066,0.003727218779308865,0.008679134383176764,0.011169617995619774,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,0.9743180871009827,0.22660072147846222,0.9996838569641113,31.831756591796875,31.944299697875977,0.003535560651657666,0.024370324953148764,0.0374542772769928,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,muon,0.9995120167732239,0.031238360330462456,0.9999234080314636,2.1305665969848633,2.130342483520508,0.00010518960762485894,0.0014444818370975554,0.0016757387202233076,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,0.9985600113868713,0.053663287311792374,0.9999234080314636,2.0100314617156982,2.0157032012939453,0.0028217168170123347,0.00695705390535295,0.00885842740535736,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,0.9743874669075012,0.22633831202983856,1.0000771284103394,31.831756591796875,31.963756561279297,0.004146801295799007,0.01978062403698762,0.02574768103659153,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,0.999512255191803,0.0312337726354599,1.0000518560409546,2.1305665969848633,2.1307601928710938,9.086591637381432e-05,0.001405342520835499,0.0015835281228646636,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,0.9985913038253784,0.053081076592206955,1.0000519752502441,2.0100314617156982,2.0156588554382324,0.0027996545475615676,0.00706844109420975,0.009182329289615154,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,0.9758458137512207,0.21981340646743774,1.0001980066299438,18.820209503173828,18.84392547607422,0.0012601333102264976,0.026704793485502403,0.04998137801885605,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,0.9996590614318848,0.02611728385090828,1.0001128911972046,1.0881285667419434,1.0884063243865967,0.0002552617890411403,0.001259916229173541,0.0014029218582436442,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,0.9986191987991333,0.05255531519651413,1.0001128911972046,0.9873135089874268,0.9884578585624695,0.0011590539019529385,0.010153865208849311,0.012291801162064075,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,0.9774559140205383,0.21233391761779785,0.9999476075172424,18.820209503173828,18.85422134399414,0.001807197779311477,0.020358108915388584,0.030852094292640686,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,0.9996636509895325,0.025942962616682053,1.0000861883163452,1.0881285667419434,1.0883736610412598,0.00022524387908522939,0.0013260968650380771,0.0015231071738526225,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,0.9986344575881958,0.052262306213378906,1.0000860691070557,0.9873135089874268,0.9890055060386658,0.0017137383777664497,0.009502224158495665,0.01169770210981369,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,0.9773706197738647,0.21272031962871552,0.99980628490448,18.820209503173828,18.861270904541016,0.0021817717470287955,0.024149877329667408,0.03818133845925331,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,0.9996604323387146,0.026059823110699654,1.000137448310852,1.0881285667419434,1.0883102416992188,0.00016696092982776731,0.0013132689443106453,0.0014817104674875736,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,0.9987220764160156,0.05055896192789078,1.0001373291015625,0.9873135089874268,0.9889602661132812,0.0016679171416821598,0.008748773873473207,0.010671159252524376,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,0.9645804166793823,0.2661382257938385,0.999862790107727,18.916278839111328,19.104097366333008,0.00992893627859544,0.03289945423603058,0.0492120124399662,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,0.9981458187103271,0.06089773029088974,1.0000869035720825,0.9313030242919922,0.9317303895950317,0.00045888963301117617,0.0027383393219982586,0.0042973472736775875,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,0.9926934242248535,0.12088873982429504,1.000087022781372,0.8411837220191956,0.8473959565162659,0.007385110213685936,0.01593466110837956,0.02907494828104973,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,0.9684584736824036,0.2511025667190552,0.9995136857032776,18.916278839111328,19.15538787841797,0.01264038457776687,0.031477488887806736,0.05061567202210426,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,0.9982090592384338,0.05984768643975258,1.0000832080841064,0.9313030242919922,0.9315271973609924,0.00024070905296443983,0.0030848021463801465,0.004424107261002064,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,normuon,0.9931146502494812,0.11735232174396515,1.0000832080841064,0.8411837220191956,0.8489512801170349,0.009234080373302924,0.017637382028624415,0.030424000695347786,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082703,adamw,0.9679322242736816,0.25323686003685,0.9998979568481445,18.916278839111328,19.105525970458984,0.010004458749908495,0.025894117541611195,0.040022049099206924,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082703,muon,0.9981540441513062,0.060763951390981674,1.0001757144927979,0.9313030242919922,0.9306520223617554,0.0006990226738839702,0.0028637092909775674,0.004219824448227882,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082703,normuon,0.993367612361908,0.11518247425556183,1.0001757144927979,0.8411837220191956,0.8466414213180542,0.00648811806029468,0.015657205134630203,0.02057313732802868,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,0.9709503650665283,0.24103014171123505,0.9999359846115112,31.585575103759766,31.744552612304688,0.005033231404610331,0.02657814199725787,0.037579286843538284,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,0.9995024800300598,0.0315445251762867,1.0000509023666382,2.094311237335205,2.094481945037842,8.151018797660977e-05,0.0014519016646469634,0.0015840361593291163,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,0.9983394742012024,0.05762946978211403,1.000050663948059,1.9744718074798584,1.9821431636810303,0.003885270061649199,0.008801602370416125,0.01108872052282095,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,0.9736650586128235,0.22947408258914948,0.9997844696044922,31.585575103759766,31.703243255615234,0.0037253762665053454,0.02383242640644312,0.03586558625102043,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082702,muon,0.9995015859603882,0.03157173469662666,0.9999517202377319,2.094311237335205,2.0941145420074463,9.391886184455734e-05,0.0014860268177775045,0.0017017414793372154,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082702,normuon,0.9985361695289612,0.05410456657409668,0.9999515414237976,1.9744718074798584,1.98007333278656,0.002836974063383177,0.0073450518151124316,0.008866931311786175,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082703,adamw,0.9737066030502319,0.229348823428154,1.0002679824829102,31.585575103759766,31.724838256835938,0.0044090744784189406,0.019383689543853205,0.024445103481411934,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082703,muon,0.9995070099830627,0.03140201047062874,1.0000375509262085,2.094311237335205,2.0945019721984863,9.10728357280556e-05,0.0014634111236470442,0.001701636123470962,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,0,0.layers.0.attn.Wqkv.weight,2026082703,normuon,0.9985830783843994,0.053232885897159576,1.0000373125076294,1.9744718074798584,1.979889988899231,0.002744116881713354,0.007087333593517542,0.008676135912537575,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082701,adamw,0.9750925898551941,0.22322165966033936,1.0002598762512207,19.16061019897461,19.189884185791016,0.0015278212182393263,0.028490408323705196,0.05154246836900711,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,0.9996550679206848,0.02626653015613556,0.999958872795105,1.1015608310699463,1.1015045642852783,5.107914432044285e-05,0.0012780945398844779,0.0013406295329332352,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,0.9986267685890198,0.05240593105554581,0.9999588131904602,0.9990389347076416,0.9999282956123352,0.0008902164608367999,0.010213175866131982,0.012226836755871773,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,0.9766982793807983,0.2158791869878769,1.0000042915344238,19.16061019897461,19.19682502746582,0.0018900665539946632,0.021093604154884815,0.03106827475130558,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,0.99965900182724,0.026112759485840797,1.0000548362731934,1.1015608310699463,1.101595163345337,3.1166935517558344e-05,0.0012270894755298893,0.0015098206931725144,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,0.9986366033554077,0.05221714824438095,1.0000548362731934,0.9990389347076416,1.0006096363067627,0.0015722125980813183,0.009324318884561459,0.012011045590043068,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,0.9766029119491577,0.21630749106407166,0.999884843826294,19.16061019897461,19.20322608947754,0.002224140570701151,0.02385828737169504,0.04039844498038292,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-3907,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,0.999657154083252,0.026185518130660057,1.0000579357147217,1.1015608310699463,1.1017029285430908,0.00012899648311433872,0.0012501920379387836,0.0015527390642091632,7.105427357601002e-15
