model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,mean_ndcg_at_10,tasks_completed,adamw_median_final_target,target_reached,estimated_useful_wall_time_hours,estimated_gpu_hours,wall_time_estimation
dense,muon,0.0003,muon-lr3e-4,2,0.4,1563,0.5920771428571429,14,0.5857621428571429,True,1.496392530371315,5.98557012148526,step_proportional_total_useful_wall_time
dense,muon,0.0003,muon-lr3e-4,3,0.6,2345,0.5912285714285714,14,0.5857621428571429,True,2.2450674879851147,8.980269951940459,step_proportional_total_useful_wall_time
dense,muon,0.0003,muon-lr3e-4,4,0.8,3126,0.5913478571428571,14,0.5857621428571429,True,2.99278506074263,11.97114024297052,step_proportional_total_useful_wall_time
dense,muon,0.0003,muon-lr3e-4,5,1.0,3907,0.5923092857142858,14,0.5857621428571429,True,3.740502633500146,14.962010534000584,step_proportional_total_useful_wall_time
dense,normuon,0.001,normuon-lr1e-3,1,0.2,782,0.58344,14,0.5857621428571429,False,0.7541563524211551,3.0166254096846203,step_proportional_total_useful_wall_time
dense,normuon,0.001,normuon-lr1e-3,2,0.4,1563,0.5919192857142856,14,0.5857621428571429,True,1.507348310529751,6.029393242119004,step_proportional_total_useful_wall_time
dense,normuon,0.001,normuon-lr1e-3,3,0.6,2345,0.5852957142857143,14,0.5857621428571429,False,2.261504662950906,9.046018651803625,step_proportional_total_useful_wall_time
dense,normuon,0.001,normuon-lr1e-3,4,0.8,3126,0.58828,14,0.5857621428571429,True,3.014696621059502,12.058786484238007,step_proportional_total_useful_wall_time
dense,normuon,0.001,normuon-lr1e-3,5,1.0,3907,0.5909621428571429,14,0.5857621428571429,True,3.767888579168098,15.071554316672392,step_proportional_total_useful_wall_time
dense,normuon,0.0001,normuon-lr1e-4,1,0.2,782,0.580245,14,0.5857621428571429,False,0.7542074279131422,3.016829711652569,step_proportional_total_useful_wall_time
dense,normuon,0.0001,normuon-lr1e-4,2,0.4,1563,0.5889957142857143,14,0.5857621428571429,True,1.5074503961997971,6.029801584799189,step_proportional_total_useful_wall_time
dense,normuon,0.0001,normuon-lr1e-4,3,0.6,2345,0.5901642857142857,14,0.5857621428571429,True,2.2616578241129393,9.046631296451757,step_proportional_total_useful_wall_time
dense,normuon,0.0001,normuon-lr1e-4,4,0.8,3126,0.5907535714285714,14,0.5857621428571429,True,3.0149007923995943,12.059603169598377,step_proportional_total_useful_wall_time
dense,normuon,0.0001,normuon-lr1e-4,5,1.0,3907,0.5909785714285715,14,0.5857621428571429,True,3.768143760686249,15.072575042744996,step_proportional_total_useful_wall_time
dense,normuon,0.003,normuon-lr3e-3,1,0.2,782,0.5489592857142858,14,0.5857621428571429,False,0.7120573115467542,2.848229246187017,step_proportional_total_useful_wall_time
dense,normuon,0.003,normuon-lr3e-3,2,0.4,1563,0.5432742857142857,14,0.5857621428571429,False,1.4232040638715817,5.692816255486327,step_proportional_total_useful_wall_time
dense,normuon,0.003,normuon-lr3e-3,3,0.6,2345,0.5458814285714285,14,0.5857621428571429,False,2.135261375418336,8.541045501673343,step_proportional_total_useful_wall_time
dense,normuon,0.003,normuon-lr3e-3,4,0.8,3126,0.5579207142857143,14,0.5857621428571429,False,2.8464081277431634,11.385632510972654,step_proportional_total_useful_wall_time
dense,normuon,0.003,normuon-lr3e-3,5,1.0,3907,0.5633857142857143,14,0.5857621428571429,False,3.5575548800679906,14.230219520271962,step_proportional_total_useful_wall_time
dense,normuon,0.0003,normuon-lr3e-4,1,0.2,782,0.5880978571428571,14,0.5857621428571429,True,0.7557093019352064,3.0228372077408254,step_proportional_total_useful_wall_time
dense,normuon,0.0003,normuon-lr3e-4,2,0.4,1563,0.5921957142857143,14,0.5857621428571429,True,1.51045222368891,6.04180889475564,step_proportional_total_useful_wall_time
dense,normuon,0.0003,normuon-lr3e-4,3,0.6,2345,0.5925235714285715,14,0.5857621428571429,True,2.2661615256241165,9.064646102496466,step_proportional_total_useful_wall_time
dense,normuon,0.0003,normuon-lr3e-4,4,0.8,3126,0.5929385714285714,14,0.5857621428571429,True,3.02090444737782,12.08361778951128,step_proportional_total_useful_wall_time
dense,normuon,0.0003,normuon-lr3e-4,5,1.0,3907,0.5934292857142858,14,0.5857621428571429,True,3.7756473691315233,15.102589476526093,step_proportional_total_useful_wall_time
