model_family,optimizer,baseline,treatment_run_id,baseline_run_id,stage,fraction,task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,ArguAna,0.58466,0.58446,0.00019999999999997797
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,ClimateFEVER,0.37808,0.3708,0.007280000000000009
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,DBPedia,0.27192,0.26996,0.0019600000000000173
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,FEVER,0.91466,0.91022,0.0044399999999999995
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,FiQA2018,0.51691,0.50736,0.009549999999999947
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,HotpotQA,0.66824,0.67123,-0.002990000000000048
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,MSMARCO,0.55609,0.55495,0.0011399999999999189
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,NFCorpus,0.28747,0.28671,0.0007599999999999829
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,NQ,0.92545,0.92545,0.0
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,QuoraRetrieval,0.91482,0.91385,0.0009699999999999154
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,SCIDOCS,0.14827,0.14891,-0.0006399999999999739
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,SciFact,0.89886,0.88021,0.018649999999999944
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,TRECCOVID,0.83275,0.83024,0.0025100000000000122
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,1,0.2,Touche2020,0.33697,0.33498,0.0019899999999999918
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,ArguAna,0.56491,0.56495,-3.999999999992898e-05
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,ClimateFEVER,0.41139,0.40626,0.005129999999999968
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,DBPedia,0.27592,0.27463,0.0012900000000000134
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,FEVER,0.9171,0.91497,0.0021300000000000763
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,FiQA2018,0.54364,0.53532,0.008319999999999994
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,HotpotQA,0.67418,0.67488,-0.0007000000000000339
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,MSMARCO,0.56628,0.5635,0.0027800000000000047
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,NFCorpus,0.28667,0.28919,-0.0025200000000000222
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,NQ,0.93964,0.92545,0.014190000000000036
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,QuoraRetrieval,0.91147,0.91135,0.00012000000000000899
